iter	Passed	Remaining
0	1	1581
1	3	1503
2	8	2688
3	11	2745
4	13	2621
5	15	2507
6	16	2327
7	17	2208
8	19	2114
9	20	2066
10	22	1993
11	23	1938
12	24	1892
13	26	1882
14	28	1864
15	30	1865
16	33	1948
17	36	1992
18	39	2025
19	40	1999
20	42	1958
21	43	1942
22	46	1955
23	47	1928
24	48	1898
25	51	1910
26	52	1889
27	53	1863
28	55	1842
29	57	1852
30	59	1855
31	60	1839
32	62	1827
33	63	1806
34	64	1790
35	66	1776
36	69	1806
37	71	1816
38	73	1810
39	75	1801
40	76	1796
41	78	1784
42	79	1772
43	83	1821
44	87	1857
45	89	1861
46	103	2108
47	110	2199
48	112	2191
49	114	2173
50	115	2154
51	117	2137
52	118	2124
53	120	2107
54	123	2121
55	126	2125
56	128	2127
57	130	2113
58	131	2101
59	133	2086
60	134	2072
61	136	2060
62	137	2045
63	139	2033
64	140	2018
65	141	2006
66	143	1996
67	144	1975
68	145	1963
69	147	1957
70	148	1943
71	149	1930
72	151	1918
73	152	1908
74	153	1895
75	157	1920
76	162	1949
77	164	1940
78	165	1934
79	168	1934
80	171	1947
81	173	1938
82	174	1928
83	176	1921
84	177	1910
85	178	1901
86	179	1886
87	181	1878
88	183	1876
89	184	1866
90	185	1856
91	187	1847
92	189	1851
93	191	1842
94	193	1840
95	197	1859
96	199	1852
97	200	1846
98	202	1842
99	205	1849
100	211	1885
101	213	1875
102	214	1870
103	216	1866
104	218	1865
105	220	1857
106	221	1852
107	223	1844
108	224	1839
109	226	1836
110	228	1828
111	230	1825
112	231	1818
113	233	1815
114	236	1820
115	240	1829
116	241	1821
117	244	1828
118	246	1825
119	248	1819
120	250	1819
121	254	1834
122	256	1825
123	257	1819
124	258	1811
125	260	1807
126	262	1802
127	263	1793
128	264	1787
129	266	1785
130	268	1779
131	270	1780
132	273	1780
133	275	1779
134	277	1776
135	278	1770
136	282	1779
137	283	1771
138	285	1767
139	287	1763
140	289	1761
141	290	1755
142	292	1755
143	295	1753
144	296	1748
145	297	1742
146	299	1737
147	303	1748
148	307	1754
149	308	1750
150	310	1746
151	312	1745
152	318	1762
153	321	1765
154	323	1763
155	324	1757
156	326	1751
157	327	1747
158	329	1741
159	331	1739
160	333	1736
161	335	1733
162	337	1734
163	339	1730
164	340	1725
165	342	1721
166	344	1716
167	345	1711
168	347	1708
169	349	1704
170	351	1705
171	353	1702
172	355	1697
173	360	1712
174	364	1718
175	368	1724
176	371	1725
177	372	1719
178	374	1718
179	376	1713
180	376	1705
181	378	1701
182	380	1697
183	381	1692
184	383	1687
185	385	1686
186	387	1682
187	388	1678
188	391	1680
189	393	1677
190	395	1673
191	397	1672
192	399	1670
193	400	1664
194	403	1664
195	405	1662
196	406	1656
197	408	1655
198	410	1653
199	413	1654
200	419	1667
201	421	1665
202	423	1660
203	424	1658
204	426	1653
205	428	1649
206	429	1645
207	430	1640
208	432	1635
209	433	1631
210	435	1628
211	436	1623
212	438	1621
213	440	1618
214	441	1613
215	448	1626
216	453	1637
217	456	1636
218	457	1632
219	459	1627
220	460	1622
221	461	1617
222	463	1616
223	465	1612
224	466	1607
225	468	1604
226	470	1601
227	471	1597
228	478	1612
229	480	1609
230	482	1606
231	484	1602
232	485	1599
233	487	1595
234	488	1591
235	490	1586
236	492	1584
237	493	1581
238	495	1576
239	497	1574
240	500	1575
241	504	1578
242	506	1577
243	507	1573
244	509	1569
245	510	1565
246	512	1563
247	514	1560
248	516	1557
249	518	1554
250	519	1550
251	520	1545
252	522	1542
253	525	1544
254	530	1548
255	532	1546
256	533	1542
257	534	1538
258	537	1536
259	538	1532
260	540	1529
261	542	1528
262	545	1528
263	546	1524
264	548	1521
265	550	1518
266	552	1517
267	554	1515
268	556	1513
269	558	1509
270	559	1505
271	561	1503
272	564	1501
273	565	1498
274	567	1495
275	568	1492
276	570	1488
277	572	1487
278	575	1487
279	576	1483
280	578	1480
281	580	1477
282	581	1473
283	582	1469
284	584	1466
285	585	1462
286	587	1458
287	588	1455
288	590	1453
289	592	1451
290	594	1447
291	595	1444
292	597	1441
293	602	1446
294	604	1443
295	605	1441
296	607	1437
297	608	1434
298	610	1430
299	611	1427
300	613	1424
301	614	1421
302	616	1419
303	618	1416
304	620	1413
305	621	1410
306	623	1408
307	625	1405
308	626	1401
309	631	1404
310	633	1403
311	635	1402
312	637	1399
313	639	1397
314	641	1394
315	643	1391
316	644	1389
317	646	1385
318	647	1381
319	648	1378
320	650	1375
321	651	1371
322	652	1368
323	654	1365
324	656	1362
325	657	1359
326	659	1357
327	661	1356
328	663	1352
329	665	1350
330	667	1348
331	669	1347
332	671	1344
333	673	1342
334	674	1338
335	675	1335
336	677	1332
337	678	1329
338	680	1326
339	681	1323
340	683	1320
341	685	1317
342	686	1314
343	687	1311
344	689	1308
345	694	1312
346	697	1313
347	699	1310
348	701	1307
349	702	1304
350	703	1301
351	705	1297
352	706	1295
353	708	1292
354	709	1289
355	711	1286
